Time;R1;R2;R3;R4;R5;R6;R7;R8;Humidity;Temperature;Indexes
127;14722;27569;15386;26738;6173;45949;45231;30127;9.1;42.09;Air
128;14714;27568;15402;26747;6142;45952;45273;30102;9.1;42.09;Air
129;14654;27553;15425;26702;6189;45901;45235;30117;9.1;42.09;Air
130;14746;27482;15477;26667;6184;45897;45247;30090;9.18;42.09;Air
131;14680;27563;15437;26740;6175;45960;45212;30179;9.1;42.09;Air
132;14641;27532;15435;26720;6115;45972;45316;30120;9.1;42.09;Air
133;14656;27657;15404;26750;6134;45962;45204;30014;9.1;42.1;Air
134;14670;27656;15465;26690;6184;45906;45227;30113;9.1;42.09;Air
135;14679;27538;15425;26728;6154;45908;45224;30118;9.14;42.09;Air
136;14698;27575;15433;26728;6190;45888;45181;30059;9.1;42.09;Air
137;14663;27522;15421;26667;6145;45971;45197;30089;9.1;42.08;Air
138;14611;27521;15477;26764;6162;45858;45177;30079;9.1;42.09;Air
139;14667;27573;15346;26696;6143;45855;45199;30075;9.18;42.1;Air
140;14708;27606;15447;26724;6065;45966;45185;30057;9.18;42.09;Air
141;14681;27522;15430;26758;6131;45907;45113;30037;9.18;42.1;Air
142;14601;27534;15393;26647;6127;45955;45178;30150;9.1;42.09;Air
143;14639;27532;15383;26686;6116;45984;45207;30046;9.1;42.1;Air
144;14616;27489;15435;26640;6185;45883;45106;30048;9.14;42.1;Air
145;14602;27491;15472;26728;6130;45872;45219;30130;9.18;42.1;Air
146;14560;27584;15312;26667;6091;45897;45187;30005;9.1;42.1;Air
147;14586;27589;15481;26767;6194;45858;45239;30013;9.1;42.1;Air
148;14630;27554;15439;26739;6151;45880;45161;30080;9.1;42.09;Air
149;14634;27484;15449;26732;6124;45845;45190;30121;9.1;42.1;Air
150;14688;27526;15407;26704;6163;45860;45181;30068;9.1;42.1;Air
151;14656;27512;15432;26649;6184;45894;45163;30094;9.18;42.11;Air
152;14578;27555;15367;26758;6140;45962;45204;30063;9.18;42.11;Air
153;14611;27579;15376;26706;6146;45938;45171;30009;9.18;42.1;Air
154;14634;27617;15371;26649;6158;45947;45217;30062;9.1;42.1;Air
155;14642;27600;15375;26592;6074;45859;45238;30001;9.1;42.1;Air
156;14634;27532;15376;26683;6174;45937;45226;30005;9.18;42.1;Air
157;14643;27545;15438;26733;6151;45883;45111;30012;9.1;42.1;Air
158;14636;27564;15418;26750;6105;45901;45225;30087;9.14;42.1;Air
159;14644;27498;15412;26713;6170;45874;45166;30029;9.1;42.11;Air
160;14618;27504;15410;26658;6141;45894;45170;30053;9.14;42.11;Air
161;14578;27556;15352;26636;6144;45946;45188;30027;9.1;42.11;Air
162;14599;27440;15353;26747;6119;45927;45127;30149;9.14;42.11;Air
163;14615;27565;15369;26676;6060;45869;45138;30097;9.18;42.11;Air
164;14635;27515;15387;26693;6121;45833;45108;30126;9.1;42.11;Air
165;14582;27499;15459;26645;6195;45854;45122;30043;9.18;42.11;Air
166;14634;27497;15411;26737;6150;45814;45172;29976;9.18;42.11;Air
167;14578;27523;15417;26774;6128;45841;45131;30060;9.14;42.13;Air
168;14681;27489;15398;26660;6157;45772;45181;30058;9.1;42.11;Air
169;14653;27543;15386;26771;6095;45876;45104;29995;9.1;42.11;Air
170;14608;27567;15378;26576;6219;45819;45139;30016;9.1;42.11;Air
171;14621;27590;15342;26668;6128;45810;45136;29989;9.1;42.12;Air
172;14566;27553;15406;26731;6187;45831;45152;30051;9.18;42.12;Air
173;14673;27565;15368;26704;6138;45806;45166;30050;9.11;42.13;Air
174;14566;27556;15401;26645;6113;45838;45163;30072;9.18;42.12;Air
175;14613;27530;15396;26656;6093;45828;45093;30005;9.18;42.12;Air
176;14611;27508;15394;26709;6116;45813;45115;30029;9.1;42.12;Air
177;14671;27556;15353;26623;6169;45857;45176;30056;9.18;42.12;Air
178;14578;27538;15362;26672;6080;45890;45150;30024;9.1;42.12;Air
179;14603;27480;15367;26658;6117;45821;45182;29962;9.1;42.12;Air
180;14589;27565;15362;26698;6076;45826;45108;30005;9.1;42.12;Air
181;14668;27461;15371;26729;6183;45793;45077;29989;9.11;42.13;Air
182;14686;27477;15368;26738;6187;45854;45141;29997;9.18;42.12;Air
183;14598;27509;15335;26739;6151;45838;45130;30049;9.11;42.13;Air
184;14591;27522;15399;26725;6135;45891;45156;30005;9.1;42.12;Air
185;14614;27507;15427;26700;6208;45815;45100;30021;9.1;42.12;Air
186;14596;27490;15271;26675;6152;45808;45175;30053;9.18;42.12;Air
187;14610;27513;15408;26736;6132;45780;45150;30042;9.1;42.11;Air
188;14610;27533;15423;26745;6155;45816;45156;30018;9.1;42.12;Air
189;14555;27540;15348;26681;6156;45783;45137;30078;9.11;42.13;Air
190;14610;27600;15452;26638;6159;45819;45202;29986;9.1;42.12;Air
191;14590;27587;15369;26700;6188;45829;45135;29979;9.11;42.13;Air
192;14563;27519;15393;26693;6126;45854;45198;30011;9.1;42.12;Air
193;14571;27534;15368;26607;6125;45892;45093;30002;9.18;42.13;Air
194;14557;27558;15376;26634;6148;45845;45125;30017;9.11;42.13;Air
195;14601;27439;15397;26632;6172;45866;45177;29966;9.11;42.13;Air
196;14585;27501;15414;26654;6095;45927;45151;29987;9.11;42.13;Air
197;14557;27546;15400;26643;6132;45886;45139;29993;9.18;42.13;Air
198;14601;27512;15432;26617;6112;45853;45068;29940;9.1;42.12;Air
199;14591;27529;15417;26661;6114;45840;45133;29926;9.11;42.13;Air
200;14589;27507;15362;26597;6127;45925;45106;29930;9.11;42.14;Air
201;14515;27458;15375;26626;6148;45878;45083;30055;9.11;42.14;Air
202;14572;27485;15394;26726;6130;45871;45120;29966;9.18;42.13;Air
203;14572;27459;15407;26693;6121;45792;45102;29923;9.11;42.13;Air
204;14578;27471;15388;26749;6136;45907;45114;29972;9.18;42.14;Air
205;14569;27557;15427;26660;6105;45795;45105;30025;9.11;42.14;Air
206;14527;27455;15403;26675;6109;45902;45095;29943;9.18;42.14;Air
207;14657;27440;15372;26657;6151;45910;45095;29992;9.18;42.15;Air
208;14611;27403;15455;26628;6156;45799;45130;30036;9.11;42.15;Air
209;14604;27440;15447;26648;6165;45795;45112;29977;9.14;42.14;Air
210;14607;27532;15370;26668;6114;45786;45094;30007;9.11;42.15;Air
211;14513;27592;15384;26568;6147;45813;45207;30056;9.11;42.15;Air
212;14595;27595;15425;26679;6049;45792;45100;30007;9.11;42.14;Air
213;14547;27537;15368;26588;6103;45867;45105;30047;9.22;42.15;Air
214;14620;27556;15350;26642;6123;45896;45087;30025;9.11;42.14;Air
215;14587;27480;15356;26624;6147;45888;45080;30037;9.11;42.14;Air
216;14569;27490;15355;26586;6143;45897;45116;29959;9.11;42.15;Air
217;14578;27436;15463;26604;6088;45802;45065;29968;9.11;42.14;Air
218;14555;27516;15351;26625;6190;45836;45073;29999;9.18;42.16;Air
219;14543;27473;15417;26595;6153;45819;45105;29973;9.11;42.15;Air
220;14537;27429;15364;26705;6124;45766;45089;30025;9.11;42.15;Air
221;14577;27420;15411;26648;6162;45849;45061;30006;9.11;42.15;Air
222;14520;27475;15316;26539;6204;45682;45032;29993;9.11;42.15;Air
223;14562;27473;15433;26597;6096;45765;45095;30058;9.11;42.15;Air
224;14555;27519;15297;26694;6072;45750;45096;29965;9.18;42.15;Air
